customer_id,gender,marital,education,job_status,income,age
21991448,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,3000,48
22002329,F,MARRIED,UNIVERSITY,UNEMPLOYED,2000,37
22035322,M,MARRIED,UNIVERSITY,UNEMPLOYED,2000,50
22055389,F,MARRIED,COLLEGE,UNEMPLOYED,0,22
22061240,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,3000,27
22067068,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,3000,39
22077045,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,2500,26
22124176,F,MARRIED,UNIVERSITY,UNEMPLOYED,0,42
22124758,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,10000,44
22188843,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2000,43
22192388,M,MARRIED,COLLEGE,UNEMPLOYED,3000,29
22216018,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,1400,30
22251018,M,MARRIED,COLLEGE,UNEMPLOYED,3000,44
22339094,M,MARRIED,COLLEGE,UNEMPLOYED,2000,42
22420552,M,MARRIED,UNIVERSITY,UNEMPLOYED,5000,60
22460133,M,MARRIED,COLLEGE,UNEMPLOYED,3000,35
22460146,M,MARRIED,COLLEGE,UNEMPLOYED,3500,34
22547825,F,MARRIED,UNIVERSITY,UNEMPLOYED,1000,47
22559382,M,MARRIED,COLLEGE,UNEMPLOYED,5000,33
22601285,M,MARRIED,UNEDUCATED,UNEMPLOYED,5000,35
22601559,M,MARRIED,UNIVERSITY,UNEMPLOYED,1965,29
22620045,M,MARRIED,COLLEGE,UNEMPLOYED,1500,41
22838921,F,MARRIED,COLLEGE,UNEMPLOYED,0,28
22853563,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,1000,56
22913662,F,MARRIED,COLLEGE,UNEMPLOYED,1000,26
22974143,F,MARRIED,COLLEGE,UNEMPLOYED,0,27
23006233,M,MARRIED,UNEDUCATED,UNEMPLOYED,5000,49
23074238,F,MARRIED,COLLEGE,UNEMPLOYED,2500,31
23165406,M,MARRIED,COLLEGE,UNEMPLOYED,1500,53
23165692,M,MARRIED,COLLEGE,UNEMPLOYED,3000,37
23199051,M,MARRIED,COLLEGE,UNEMPLOYED,5000,37
23258220,M,MARRIED,COLLEGE,UNEMPLOYED,2000,52
23301301,F,MARRIED,COLLEGE,UNEMPLOYED,3000,27
23313091,M,MARRIED,MASTERS,UNEMPLOYED,6000,34
23323733,M,MARRIED,COLLEGE,UNEMPLOYED,1650,28
23330248,F,MARRIED,COLLEGE,UNEMPLOYED,2000,41
23521806,F,MARRIED,MASTERS,UNEMPLOYED,3000,32
23522440,F,MARRIED,COLLEGE,UNEMPLOYED,800,42
23615330,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,900,47
23659245,M,MARRIED,COLLEGE,UNEMPLOYED,4000,30
23817329,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,2000,47
23908609,M,MARRIED,COLLEGE,UNEMPLOYED,780,47
23976416,F,MARRIED,COLLEGE,UNEMPLOYED,1500,30
24229521,M,MARRIED,COLLEGE,UNEMPLOYED,1100,41
24234854,F,MARRIED,COLLEGE,UNEMPLOYED,575,35
24356307,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,400,32
24417283,F,MARRIED,HIGH SCHOOL,UNEMPLOYED,2000,25
24447561,M,MARRIED,COLLEGE,UNEMPLOYED,5000,39
24493328,M,MARRIED,COLLEGE,UNEMPLOYED,2000,57
24556604,M,MARRIED,UNIVERSITY,UNEMPLOYED,5000,32
24714210,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,880,29
24734930,M,MARRIED,COLLEGE,UNEMPLOYED,1550,39
24772417,M,MARRIED,COLLEGE,UNEMPLOYED,1500,43
24798995,F,MARRIED,HIGH SCHOOL,UNEMPLOYED,0,27
24846299,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,1500,33
24900149,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,1500,48
25018215,M,MARRIED,COLLEGE,UNEMPLOYED,4000,42
25151375,M,MARRIED,UNIVERSITY,UNEMPLOYED,2000,40
25309578,M,MARRIED,COLLEGE,UNEMPLOYED,3000,42
25375519,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,1700,52
25458386,M,MARRIED,COLLEGE,UNEMPLOYED,20000,42
25630001,M,MARRIED,COLLEGE,UNEMPLOYED,2700,26
25774221,M,MARRIED,COLLEGE,UNEMPLOYED,1000,41
25992080,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,1000,51
26293167,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,10000,34
